OBJECTID,NOM,ID_IA45,ADRESSE,CODE_INSEE,CODE_POSTAL,COMMUNE,TYPE_ETAB,VALIDITE,PLACEMENT,X,Y,TELEPHONE,SITES_INTERNET
203,Ecole primaire publique Gambetta,0450549C,19 rue Gambetta,45208,45200,MONTARGIS,Ecole primaire publique,Juillet 2012,Géocodage,679962.7,6766316.1,02 38 98 00 84,http://www.education.gouv.fr/annuaire/45-loiret/montargis/etab/ecole-primaire-publique-gambetta.html
204,Ecole primaire publique Genebrier,0450553G,Route de Paucourt,45208,45200,MONTARGIS,Ecole primaire publique,Juillet 2012,Manuel,680332.4,6766354.9,02 38 93 31 86,http://www.education.gouv.fr/annuaire/45-loiret/montargis/etab/ecole-primaire-publique-genebrier.html
205,Ecole primaire publique Jean Moulin,0450989F,1 rue Jean Moulin,45208,45200,MONTARGIS,Ecole primaire publique,Juillet 2012,Géocodage,680877.2,6765938.2,02 38 85 05 48,http://www.education.gouv.fr/annuaire/45-loiret/montargis/etab/ecole-primaire-publique-jean-moulin.html
206,Ecole primaire publique Maurice Meunier,0451556X,6 rue Emile Decourt,45208,45200,MONTARGIS,Ecole primaire publique,Juillet 2012,Géocodage,680886.2,6766436.7,02 38 85 24 25,http://www.education.gouv.fr/annuaire/45-loiret/montargis/etab/ecole-primaire-publique-maurice-meunier.html
207,Ecole primaire publique Pasteur,0450547A,5 boulevard Durzy,45208,45200,MONTARGIS,Ecole primaire publique,Juillet 2012,Géocodage,680283.1,6766242,02 38 85 72 42,http://www.education.gouv.fr/annuaire/45-loiret/montargis/etab/ecole-primaire-publique-pasteur.html
208,Ecole primaire publique Paul Langevin,0450552F,85 boulevard Kennedy,45208,45200,MONTARGIS,Ecole primaire publique,Juillet 2012,Géocodage,679292,6767001.2,02 38 85 41 07,http://www.education.gouv.fr/annuaire/45-loiret/montargis/etab/ecole-primaire-publique-paul-langevin.html
209,Ecole primaire publique,0450221W,10 rue de Gien,45280,45500,SAINT GONDON,Ecole primaire publique,Juillet 2012,Géocodage,665748,6733203.1,02 38 36 96 06,http://www.education.gouv.fr/annuaire/45-loiret/saint-gondon/etab/ecole-primaire-publique.html
210,Ecole primaire publique Quatre vents,0450576G,Les Petits Bouguereaux,45281,45320,SAINT HILAIRE LES ANDRESIS,Ecole primaire publique,Juillet 2012,Manuel,700395.1,6772867.6,02 38 97 03 73,http://www.education.gouv.fr/annuaire/45-loiret/saint-hilaire-les-andresis/etab/ecole-primaire-publique-des-quatre-vents.html
211,Ecole primaire publique,0451161T,1017 Route d'Orléans,45282,45160,SAINT HILAIRE SAINT MESMIN,Ecole primaire publique,Juillet 2012,Géocodage,612763,6752253,02 38 76 31 29,http://www.education.gouv.fr/annuaire/45-loiret/saint-hilaire-saint-mesmin/etab/ecole-primaire-publique.html
212,Ecole primaire publique Gallouedec,0451055C,2 rue Gallouedec,45284,45800,SAINT JEAN DE BRAYE,Ecole primaire publique,Juillet 2012,Géocodage,620555.8,6756520.1,02 38 86 50 08,http://www.education.gouv.fr/annuaire/45-loiret/saint-jean-de-braye/etab/ecole-primaire-publique-gallouedec.html
213,Ecole primaire publique Jacques Prévert,0451267H,Rue du Clocheton,45284,45800,SAINT JEAN DE BRAYE,Ecole primaire publique,Juillet 2012,Géocodage,622820.9,6757836.45,02 38 86 70 20,http://www.education.gouv.fr/annuaire/45-loiret/saint-jean-de-braye/etab/ecole-primaire-publique-jacques-prevert.html
214,Ecole primaire publique Jean zay,0451416V,34 rue de la Mairie,45284,45800,SAINT JEAN DE BRAYE,Ecole primaire publique,Juillet 2012,Géocodage,623148.8,6757290.7,02 38 55 13 51,http://www.education.gouv.fr/annuaire/45-loiret/saint-jean-de-braye/etab/ecole-primaire-publique-jean-zay.html
215,Ecole primaire privée Saint Joseph,0450964D,63 Grande rue,45082,45110,CHATEAUNEUF SUR LOIRE,Ecole primaire privée,Juillet 2012,Géocodage,641896.6,6751712.5,02 38 58 45 33,http://www.education.gouv.fr/annuaire/45-loiret/chateauneuf-sur-loire/etab/ecole-primaire-privee-saint-joseph.html
216,Ecole primaire privée Notre-Dame de la Bretauche,0450961A,121 rue Vauroger,45089,45430,CHECY,Ecole primaire privée,Juillet 2012,Géocodage,625731.9,6757778.7,02 38 75 21 40,http://www.education.gouv.fr/annuaire/45-loiret/checy/etab/ecole-primaire-privee-notre-dame-de-la-bretauche.html
217,Ecole primaire privée Jeanne d'Arc,0451010D,16 rue des Fossés,45145,45210,FERRIERES EN GATINAIS,Ecole primaire privée,Juillet 2012,Géocodage,684408.5,6776890,02 38 96 52 58,http://www.education.gouv.fr/annuaire/45-loiret/ferrieres-en-gatinais/etab/ecole-primaire-privee-jeanne-d-arc.html
218,Ecole primaire privée Sainte Genevieve,0450965E,7 rue Paul Bert,45155,45500,GIEN,Ecole primaire privée,Juillet 2012,Géocodage,672023.3,6731947.1,02 38 67 16 57,http://www.education.gouv.fr/annuaire/45-loiret/gien/etab/ecole-primaire-privee-sainte-genevieve.html
219,Ecole primaire privée Saint-Jean,0450957W,2 rue Saint Jean,45203,45130,MEUNG SUR LOIRE,Ecole primaire privée,Juillet 2012,Géocodage,602728.8,6748172.1,02 3844 33 43,http://www.education.gouv.fr/annuaire/45-loiret/meung-sur-loire/etab/ecole-primaire-privee-saint-jean.html
220,Ecole primaire privée Jeanne d'Arc,0450974P,Place de Verdun,45191,45330,MALESHERBES,Ecole primaire privée,Juillet 2012,Géocodage,656604.6,6799615.1,02 38 34 92 31,http://www.education.gouv.fr/annuaire/45-loiret/malesherbes/etab/ecole-primaire-privee-jeanne-d-arc.html
221,Ecole primaire privée Saint-Louis Saint-Charles,0451005Y,Le Château,45208,45200,MONTARGIS,Ecole primaire privée,Juillet 2012,Géocodage,679766.95,6766387.6,02 38 95 06 33,http://www.education.gouv.fr/annuaire/45-loiret/montargis/etab/ecole-primaire-privee-saint-louis-saint-charles.html
222,Ecole primaire privée Saint Joseph,0450950N,17 rue des Villeneuves,45224,45170,NEUVILLE AUX BOIS,Ecole primaire privée,Juillet 2012,Géocodage,629668.6,6774858.7,02 38 91 02 27,http://www.education.gouv.fr/annuaire/45-loiret/neuville-aux-bois/etab/ecole-primaire-privee-saint-joseph.html
223,Ecole primaire privée La Providence,0450959Y,91 rue du Général de Gaulle,45232,45160,OLIVET,Ecole primaire privée,Juillet 2012,Géocodage,617724.6,6752146.2,02 38 63 46 67,http://www.education.gouv.fr/annuaire/45-loiret/olivet/etab/ecole-primaire-privee-la-providence.html
224,Ecole primaire privée Jeanne d'Arc,0450962B,28 place Jeanne d'Arc,45248,45310,PATAY,Ecole primaire privée,Juillet 2012,Géocodage,602890.1,6772482.1,02 38 75 75 00,http://www.education.gouv.fr/annuaire/45-loiret/patay/etab/ecole-primaire-privee-jeanne-d-arc.html
225,Ecole primaire privée Saint Grégoire,0451563E,5 avenue de la République,45252,45303,PITHIVIERS,Ecole primaire privée,Juillet 2012,Géocodage,644413.6,6786024.6,02 38 30 23 88,http://www.education.gouv.fr/annuaire/45-loiret/pithiviers/etab/ecole-primaire-privee-saint-gregoire.html
226,Ecole primaire privée Sainte-Marie,0450970K,8 chemin du Port,45270,45730,SAINT BENOIT SUR LOIRE,Ecole primaire privée,Juillet 2012,Géocodage,647876.9,6745774.8,02 38 35 72 19,http://www.education.gouv.fr/annuaire/45-loiret/saint-benoit-sur-loire/etab/ecole-primaire-privee-sainte-marie.html
227,Ecole primaire privée Sainte-Thérese,0450979V,Rue des écoles,45274,45560,SAINT DENIS EN VAL,Ecole primaire privée,Juillet 2012,Géocodage,622099.8,6753996.35,02 38 76 70 21,http://www.education.gouv.fr/annuaire/45-loiret/saint-denis-en-val/etab/ecole-primaire-privee-sainte-therese.html
228,Ecole primaire privée Jeanne d'Arc,0450971L,7 Route de Cerdon,45315,45600,SULLY SUR LOIRE,Ecole primaire privée,Juillet 2012,Géocodage,653139.5,6740522,02 38 36 22 91,http://www.education.gouv.fr/annuaire/45-loiret/sully-sur-loire/etab/ecole-primaire-privee-jeanne-d-arc.html
229,Ecole primaire privée Hc la Chouette,0451671X,98 rue d'Illiers,45234,45000,ORLEANS,Ecole primaire privée,Juillet 2012,Géocodage,617607.4,6756446.5,09 64 27 00 45,http://www.education.gouv.fr/annuaire/45-loiret/orleans/etab/ecole-elementaire-privee-hc-la-chouette.html
230,Ecole primaire privée Hc Sainte-Anne,0451683K,56 rue de la Cigogne,45234,45100,ORLEANS,Ecole primaire privée,Juillet 2012,Géocodage,617821.7,6754674.3,06 62 73 70 65,http://www.education.gouv.fr/annuaire/45-loiret/orleans/etab/ecole-elementaire-privee-hc-sainte-anne.html
231,Ecole primaire privée Assomption-Saint Marc-Saint Aignan,0450949M,20 rue Saint Marc,45234,45044,ORLEANS,Ecole primaire privée,Juillet 2012,Géocodage,619414.6,6756539.7,02 38 24 02 70,http://www.education.gouv.fr/annuaire/45-loiret/orleans/etab/ecole-primaire-privee-assomption-st-marc-st-aignan.html
232,Ecole primaire privée Notre Dame la Consolation,0450948L,323 faubourg Bannier,45234,45000,ORLEANS,Ecole primaire privée,Juillet 2012,Géocodage,617593.9,6758976.2,02 38 88 55 38,http://www.education.gouv.fr/annuaire/45-loiret/orleans/etab/ecole-primaire-privee-notre-dame-de-consolation.html
233,Ecole primaire publique Au fil de l'eau,0450600H,Chemin des Gravissants,45210,45230,MONTBOUY,Ecole primaire publique,Juillet 2012,Géocodage,686578.15,6751257.35,02 38 97 55 14,http://www.education.gouv.fr/annuaire/45-loiret/montbouy/etab/ecole-primaire-publique-au-fil-de-l-eau.html
234,Ecole primaire publique,0451573R,23 rue de Verdun,45212,45700,MONTCRESSON,Ecole primaire publique,Juillet 2012,Géocodage,685590.931641,6756112.454284,02 38 90 02 99,http://www.education.gouv.fr/annuaire/45-loiret/montcresson/etab/ecole-primaire-publique.html
